txn_id,date_key,timestamp,merchant_id,bank_id,method_id,amount,status,error_category,latency_ms,mdr_rate_pct
TXN_0000069,2026-07-13,2026-07-13 10:57:34,M_103,BNK_02,PM_03,586.77,SUCCESS,NONE,1208,0.0185
TXN_0000070,2026-06-09,2026-06-09 13:26:21,M_104,BNK_02,PM_02,10910.47,SUCCESS,NONE,906,0.0185
TXN_0000071,2026-08-14,2026-08-14 22:01:54,M_102,BNK_04,PM_04,4427.15,SUCCESS,NONE,1208,0.009
TXN_0000072,2026-07-09,2026-07-09 12:54:57,M_104,BNK_01,PM_03,17278.17,SUCCESS,NONE,1561,0.0185
TXN_0000073,2026-06-29,2026-06-29 15:14:17,M_106,BNK_05,PM_05,2292.01,SUCCESS,NONE,1089,0.015
TXN_0000074,2026-07-30,2026-07-30 04:39:34,M_103,BNK_04,PM_02,329.44,SUCCESS,NONE,1569,0.0185
TXN_0000075,2026-07-25,2026-07-25 04:55:29,M_105,BNK_01,PM_01,258.99,SUCCESS,NONE,314,0.0
TXN_0000076,2026-07-12,2026-07-12 10:48:56,M_103,BNK_02,PM_04,2019.81,SUCCESS,NONE,1346,0.009
TXN_0000077,2026-06-11,2026-06-11 15:01:47,M_107,BNK_04,PM_03,2789.21,USER_DROPPED,AUTH_TIMEOUT,5604,0.0185
TXN_0000078,2026-06-06,2026-06-06 00:15:12,M_103,BNK_02,PM_01,4228.3,SUCCESS,NONE,1010,0.0065
TXN_0000079,2026-06-15,2026-06-15 18:13:29,M_102,BNK_02,PM_04,3557.43,SUCCESS,NONE,1127,0.009
TXN_0000080,2026-06-15,2026-06-15 05:19:06,M_102,BNK_05,PM_05,2977.69,FAILED,INSUFFICIENT_FUNDS,2011,0.015
TXN_0000081,2026-06-10,2026-06-10 18:44:53,M_104,BNK_04,PM_02,12222.26,SUCCESS,NONE,1034,0.0185
TXN_0000082,2026-06-16,2026-06-16 18:50:02,M_107,BNK_03,PM_05,1866.58,SUCCESS,NONE,1207,0.015
TXN_0000083,2026-07-14,2026-07-14 00:54:26,M_103,BNK_01,PM_05,4147.19,SUCCESS,NONE,1543,0.015
TXN_0000084,2026-07-26,2026-07-26 05:46:33,M_103,BNK_04,PM_02,4834.27,SUCCESS,NONE,944,0.0185
TXN_0000085,2026-07-30,2026-07-30 13:52:46,M_107,BNK_05,PM_04,3043.88,SUCCESS,NONE,857,0.009
TXN_0000086,2026-07-28,2026-07-28 07:48:29,M_102,BNK_01,PM_03,2935.28,SUCCESS,NONE,949,0.0185
TXN_0000087,2026-07-12,2026-07-12 05:31:13,M_103,BNK_01,PM_04,1903.16,SUCCESS,NONE,1374,0.009
TXN_0000088,2026-08-11,2026-08-11 00:33:12,M_103,BNK_05,PM_03,610.94,SUCCESS,NONE,1198,0.0185
TXN_0000089,2026-07-31,2026-07-31 20:45:31,M_104,BNK_05,PM_02,9446.71,SUCCESS,NONE,941,0.0185
TXN_0000090,2026-07-02,2026-07-02 09:42:37,M_103,BNK_02,PM_04,1971.3,SUCCESS,NONE,1253,0.009
TXN_0000091,2026-07-13,2026-07-13 11:44:29,M_103,BNK_04,PM_05,1500.4,SUCCESS,NONE,1129,0.015
TXN_0000092,2026-06-16,2026-06-16 23:34:48,M_101,BNK_02,PM_03,1771.88,SUCCESS,NONE,1390,0.0185
TXN_0000093,2026-08-15,2026-08-15 16:38:18,M_106,BNK_04,PM_03,4906.45,SUCCESS,NONE,889,0.0185
TXN_0000094,2026-06-23,2026-06-23 09:00:45,M_103,BNK_02,PM_03,2763.85,SUCCESS,NONE,1001,0.0185
TXN_0000095,2026-06-17,2026-06-17 20:55:48,M_101,BNK_05,PM_03,1303.56,SUCCESS,NONE,982,0.0185
TXN_0000096,2026-08-01,2026-08-01 14:21:11,M_105,BNK_03,PM_04,1160.32,SUCCESS,NONE,660,0.009
TXN_0000097,2026-06-09,2026-06-09 12:31:04,M_107,BNK_04,PM_01,2969.7,SUCCESS,NONE,1188,0.0065
TXN_0000098,2026-07-09,2026-07-09 02:15:07,M_102,BNK_02,PM_05,2878.75,SUCCESS,NONE,1178,0.015
TXN_0000099,2026-08-06,2026-08-06 12:28:58,M_105,BNK_05,PM_02,559.13,SUCCESS,NONE,1101,0.0185
TXN_0000100,2026-08-19,2026-08-19 01:39:47,M_104,BNK_03,PM_05,4038.12,SUCCESS,NONE,1029,0.015
TXN_0000101,2026-06-11,2026-06-11 05:15:11,M_106,BNK_02,PM_03,2849.56,SUCCESS,NONE,675,0.0185
TXN_0000102,2026-07-31,2026-07-31 09:02:14,M_104,BNK_04,PM_05,6965.63,SUCCESS,NONE,973,0.015
TXN_0000103,2026-06-30,2026-06-30 08:50:50,M_107,BNK_04,PM_01,3200.28,SUCCESS,NONE,997,0.0065
TXN_0000104,2026-08-09,2026-08-09 07:41:09,M_102,BNK_04,PM_01,4560.37,SUCCESS,NONE,859,0.0065
TXN_0000105,2026-07-10,2026-07-10 19:47:52,M_101,BNK_01,PM_02,1487.64,SUCCESS,NONE,1051,0.0185
TXN_0000106,2026-07-22,2026-07-22 08:32:34,M_101,BNK_04,PM_03,1310.42,SUCCESS,NONE,1221,0.0185
TXN_0000107,2026-08-17,2026-08-17 08:01:05,M_101,BNK_04,PM_03,687.97,SUCCESS,NONE,1665,0.0185
TXN_0000108,2026-06-03,2026-06-03 21:52:17,M_107,BNK_05,PM_05,2965.99,SUCCESS,NONE,1152,0.015
TXN_0000109,2026-07-27,2026-07-27 08:11:37,M_102,BNK_04,PM_05,2292.25,SUCCESS,NONE,1177,0.015
TXN_0000110,2026-07-23,2026-07-23 10:20:42,M_101,BNK_04,PM_03,395.81,SUCCESS,NONE,1077,0.0185
TXN_0000111,2026-07-22,2026-07-22 17:02:29,M_104,BNK_04,PM_03,3864.93,SUCCESS,NONE,524,0.0185
TXN_0000112,2026-06-01,2026-06-01 21:55:34,M_101,BNK_04,PM_05,1235.64,SUCCESS,NONE,1092,0.015
TXN_0000113,2026-08-03,2026-08-03 20:28:48,M_105,BNK_03,PM_05,109.35,SUCCESS,NONE,1118,0.015
TXN_0000114,2026-08-02,2026-08-02 03:01:40,M_102,BNK_03,PM_04,3122.58,SUCCESS,NONE,1838,0.009
TXN_0000115,2026-06-02,2026-06-02 17:26:05,M_102,BNK_03,PM_05,1278.56,SUCCESS,NONE,1042,0.015
TXN_0000116,2026-06-20,2026-06-20 15:59:45,M_101,BNK_04,PM_01,835.87,SUCCESS,NONE,1190,0.0
TXN_0000117,2026-07-02,2026-07-02 14:35:09,M_104,BNK_04,PM_04,8445.58,FAILED,INSUFFICIENT_FUNDS,3768,0.009
TXN_0000118,2026-07-24,2026-07-24 10:59:50,M_102,BNK_01,PM_03,2637.14,SUCCESS,NONE,749,0.0185
TXN_0000119,2026-08-14,2026-08-14 21:31:55,M_103,BNK_03,PM_05,913.26,SUCCESS,NONE,1442,0.015
TXN_0000120,2026-08-09,2026-08-09 12:29:59,M_103,BNK_03,PM_05,1744.53,SUCCESS,NONE,1325,0.015
TXN_0000121,2026-07-20,2026-07-20 07:54:49,M_106,BNK_02,PM_05,2171.72,SUCCESS,NONE,1337,0.015
TXN_0000122,2026-06-20,2026-06-20 15:02:08,M_104,BNK_04,PM_04,10285.51,SUCCESS,NONE,827,0.009
TXN_0000123,2026-06-13,2026-06-13 16:58:29,M_107,BNK_01,PM_04,273.67,SUCCESS,NONE,1520,0.009
TXN_0000124,2026-07-31,2026-07-31 08:21:39,M_107,BNK_02,PM_01,3524.98,SUCCESS,NONE,679,0.0065
TXN_0000125,2026-07-19,2026-07-19 10:40:45,M_107,BNK_03,PM_05,4459.71,SUCCESS,NONE,1276,0.015
TXN_0000126,2026-06-09,2026-06-09 07:40:43,M_105,BNK_01,PM_05,1109.07,USER_DROPPED,AUTH_TIMEOUT,8128,0.015
TXN_0000127,2026-06-13,2026-06-13 20:45:55,M_106,BNK_01,PM_04,682.43,SUCCESS,NONE,802,0.009
TXN_0000128,2026-07-12,2026-07-12 01:18:22,M_103,BNK_01,PM_01,1999.24,SUCCESS,NONE,930,0.0
TXN_0000129,2026-06-24,2026-06-24 05:11:05,M_105,BNK_04,PM_05,750.92,SUCCESS,NONE,1129,0.015
TXN_0000130,2026-08-14,2026-08-14 04:14:29,M_106,BNK_02,PM_04,3261.94,SUCCESS,NONE,948,0.009
TXN_0000131,2026-07-07,2026-07-07 21:34:10,M_106,BNK_01,PM_04,554.54,FAILED,NETWORK_FAILURE,2404,0.009
TXN_0000132,2026-07-29,2026-07-29 09:12:24,M_103,BNK_04,PM_03,4296.01,SUCCESS,NONE,1120,0.0185
TXN_0000133,2026-08-13,2026-08-13 09:44:18,M_104,BNK_05,PM_03,2840.06,SUCCESS,NONE,781,0.0185
TXN_0000134,2026-08-12,2026-08-12 21:49:47,M_104,BNK_03,PM_01,17590.84,FAILED,AUTH_TIMEOUT,4226,0.0065
TXN_0000135,2026-08-17,2026-08-17 11:14:40,M_107,BNK_03,PM_02,1112.63,SUCCESS,NONE,824,0.0185
TXN_0000136,2026-08-20,2026-08-20 20:02:19,M_107,BNK_02,PM_01,3985.33,SUCCESS,NONE,1564,0.0065
TXN_0000137,2026-07-08,2026-07-08 10:47:26,M_103,BNK_02,PM_01,1043.07,SUCCESS,NONE,865,0.0
TXN_0000138,2026-08-04,2026-08-04 08:53:10,M_105,BNK_03,PM_05,345.52,SUCCESS,NONE,1003,0.015
TXN_0000139,2026-06-15,2026-06-15 14:04:09,M_104,BNK_03,PM_03,14189.35,SUCCESS,NONE,1344,0.0185
TXN_0000140,2026-07-17,2026-07-17 02:50:25,M_106,BNK_04,PM_05,266.81,SUCCESS,NONE,730,0.015
TXN_0000141,2026-08-14,2026-08-14 12:52:40,M_104,BNK_03,PM_03,17074.52,SUCCESS,NONE,1168,0.0185
TXN_0000142,2026-08-19,2026-08-19 17:20:58,M_102,BNK_04,PM_01,3128.39,SUCCESS,NONE,1492,0.0065
TXN_0000143,2026-07-23,2026-07-23 03:08:02,M_106,BNK_04,PM_03,4742.06,SUCCESS,NONE,617,0.0185
TXN_0000144,2026-07-01,2026-07-01 17:08:24,M_104,BNK_01,PM_01,9531.48,SUCCESS,NONE,1155,0.0065
TXN_0000145,2026-08-15,2026-08-15 23:46:09,M_106,BNK_05,PM_04,4449.99,SUCCESS,NONE,1177,0.009
TXN_0000146,2026-07-23,2026-07-23 08:02:44,M_107,BNK_04,PM_05,1978.54,SUCCESS,NONE,1334,0.015
TXN_0000147,2026-07-18,2026-07-18 17:57:41,M_102,BNK_03,PM_01,1921.63,SUCCESS,NONE,728,0.0
TXN_0000148,2026-06-12,2026-06-12 21:13:41,M_102,BNK_01,PM_04,3269.57,USER_DROPPED,AUTH_TIMEOUT,3915,0.009
TXN_0000149,2026-06-17,2026-06-17 18:13:04,M_101,BNK_03,PM_02,2100.07,SUCCESS,NONE,1256,0.0185
TXN_0000150,2026-07-13,2026-07-13 04:50:57,M_105,BNK_02,PM_02,735.38,SUCCESS,NONE,1189,0.0185
TXN_0000151,2026-07-03,2026-07-03 05:07:42,M_102,BNK_02,PM_05,4358.95,SUCCESS,NONE,1175,0.015
TXN_0000152,2026-07-12,2026-07-12 00:11:16,M_103,BNK_02,PM_05,451.52,SUCCESS,NONE,1203,0.015
TXN_0000153,2026-07-31,2026-07-31 14:49:23,M_105,BNK_01,PM_01,640.22,SUCCESS,NONE,895,0.0
TXN_0000154,2026-06-06,2026-06-06 23:50:58,M_105,BNK_02,PM_05,1047.03,SUCCESS,NONE,1169,0.015
TXN_0000155,2026-08-01,2026-08-01 12:27:43,M_104,BNK_01,PM_01,4173.41,SUCCESS,NONE,1187,0.0065
TXN_0000156,2026-07-12,2026-07-12 19:09:04,M_104,BNK_01,PM_01,4455.97,SUCCESS,NONE,885,0.0065
TXN_0000157,2026-07-19,2026-07-19 19:33:18,M_105,BNK_05,PM_03,571.77,SUCCESS,NONE,1659,0.0185
TXN_0000158,2026-06-28,2026-06-28 13:28:56,M_101,BNK_01,PM_05,686.96,SUCCESS,NONE,1242,0.015
TXN_0000159,2026-06-13,2026-06-13 10:27:20,M_104,BNK_04,PM_04,12809.17,SUCCESS,NONE,742,0.009
TXN_0000160,2026-06-12,2026-06-12 02:05:27,M_102,BNK_04,PM_01,663.51,SUCCESS,NONE,1296,0.0
TXN_0000161,2026-06-08,2026-06-08 18:35:35,M_107,BNK_02,PM_05,1782.3,SUCCESS,NONE,807,0.015
TXN_0000162,2026-07-07,2026-07-07 19:19:22,M_103,BNK_04,PM_01,697.28,SUCCESS,NONE,1336,0.0
TXN_0000163,2026-06-14,2026-06-14 11:54:35,M_102,BNK_04,PM_02,1964.29,SUCCESS,NONE,1447,0.0185
TXN_0000164,2026-08-11,2026-08-11 19:39:43,M_105,BNK_02,PM_04,789.1,SUCCESS,NONE,853,0.009
TXN_0000165,2026-06-24,2026-06-24 08:44:48,M_106,BNK_03,PM_01,1683.13,SUCCESS,NONE,1389,0.0
TXN_0000166,2026-08-12,2026-08-12 21:25:04,M_101,BNK_02,PM_02,483.41,SUCCESS,NONE,1223,0.0185
TXN_0000167,2026-06-28,2026-06-28 12:26:29,M_101,BNK_01,PM_05,951.11,SUCCESS,NONE,1346,0.015
TXN_0000168,2026-08-16,2026-08-16 02:56:03,M_106,BNK_03,PM_05,946.78,SUCCESS,NONE,1669,0.015
TXN_0000169,2026-07-27,2026-07-27 21:27:31,M_101,BNK_01,PM_03,1576.63,SUCCESS,NONE,1026,0.0185
TXN_0000170,2026-07-15,2026-07-15 13:07:18,M_102,BNK_05,PM_01,3455.45,SUCCESS,NONE,873,0.0065
TXN_0000171,2026-06-29,2026-06-29 12:38:03,M_105,BNK_03,PM_01,58.84,SUCCESS,NONE,833,0.0
TXN_0000172,2026-07-08,2026-07-08 10:07:00,M_102,BNK_02,PM_03,2587.45,SUCCESS,NONE,855,0.0185
TXN_0000173,2026-06-30,2026-06-30 16:35:53,M_102,BNK_04,PM_05,3406.63,SUCCESS,NONE,1076,0.015
TXN_0000174,2026-06-03,2026-06-03 14:58:04,M_104,BNK_01,PM_04,15862.71,SUCCESS,NONE,1202,0.009
TXN_0000175,2026-07-08,2026-07-08 03:25:01,M_105,BNK_04,PM_04,1161.13,SUCCESS,NONE,1183,0.009
TXN_0000176,2026-06-12,2026-06-12 13:54:06,M_105,BNK_04,PM_03,329.81,SUCCESS,NONE,1348,0.0185
TXN_0000177,2026-07-10,2026-07-10 23:21:14,M_105,BNK_01,PM_04,433.03,SUCCESS,NONE,1103,0.009
TXN_0000178,2026-08-05,2026-08-05 06:57:49,M_105,BNK_01,PM_05,451.78,SUCCESS,NONE,1536,0.015
TXN_0000179,2026-06-14,2026-06-14 04:16:12,M_107,BNK_02,PM_02,1032.8,SUCCESS,NONE,1020,0.0185
TXN_0000180,2026-08-20,2026-08-20 15:29:48,M_107,BNK_01,PM_02,2905.93,SUCCESS,NONE,1916,0.0185
TXN_0000181,2026-07-12,2026-07-12 20:20:09,M_106,BNK_05,PM_05,2310.86,SUCCESS,NONE,1287,0.015
TXN_0000182,2026-08-15,2026-08-15 01:22:32,M_106,BNK_03,PM_03,556.12,SUCCESS,NONE,842,0.0185
TXN_0000183,2026-07-07,2026-07-07 02:41:55,M_101,BNK_01,PM_03,2446.82,SUCCESS,NONE,778,0.0185
TXN_0000184,2026-07-30,2026-07-30 18:35:50,M_105,BNK_05,PM_04,899.76,SUCCESS,NONE,1244,0.009
TXN_0000185,2026-07-12,2026-07-12 19:30:32,M_107,BNK_05,PM_02,924.13,SUCCESS,NONE,1032,0.0185
TXN_0000186,2026-08-04,2026-08-04 20:11:02,M_101,BNK_03,PM_01,732.2,SUCCESS,NONE,1314,0.0
TXN_0000187,2026-08-18,2026-08-18 05:23:23,M_104,BNK_05,PM_05,16728.02,SUCCESS,NONE,1241,0.015
TXN_0000188,2026-06-07,2026-06-07 20:41:21,M_107,BNK_03,PM_05,516.38,SUCCESS,NONE,1078,0.015
TXN_0000189,2026-07-03,2026-07-03 23:54:42,M_106,BNK_04,PM_03,4829.17,SUCCESS,NONE,845,0.0185
TXN_0000190,2026-08-14,2026-08-14 21:09:58,M_102,BNK_03,PM_01,1879.14,USER_DROPPED,AUTH_TIMEOUT,3682,0.0
TXN_0000191,2026-08-16,2026-08-16 22:05:19,M_106,BNK_04,PM_02,2882.83,SUCCESS,NONE,966,0.0185
TXN_0000192,2026-06-12,2026-06-12 20:42:27,M_103,BNK_02,PM_05,2640.74,SUCCESS,NONE,1356,0.015
TXN_0000193,2026-07-14,2026-07-14 15:12:14,M_103,BNK_02,PM_02,4999.89,SUCCESS,NONE,1164,0.0185
TXN_0000194,2026-08-09,2026-08-09 23:56:33,M_103,BNK_01,PM_05,381.19,SUCCESS,NONE,726,0.015
TXN_0000195,2026-08-16,2026-08-16 12:09:10,M_107,BNK_05,PM_02,1068.06,SUCCESS,NONE,1151,0.0185
TXN_0000196,2026-06-06,2026-06-06 13:23:43,M_105,BNK_02,PM_04,877.52,USER_DROPPED,AUTH_TIMEOUT,5962,0.009
TXN_0000197,2026-06-30,2026-06-30 17:15:19,M_105,BNK_03,PM_04,1160.44,SUCCESS,NONE,834,0.009
TXN_0000198,2026-08-13,2026-08-13 14:29:49,M_107,BNK_02,PM_03,1552.5,SUCCESS,NONE,1146,0.0185
TXN_0000199,2026-06-26,2026-06-26 19:08:55,M_105,BNK_04,PM_02,337.5,SUCCESS,NONE,1117,0.0185
TXN_0000200,2026-06-14,2026-06-14 22:54:33,M_107,BNK_03,PM_05,4285.6,SUCCESS,NONE,757,0.015
TXN_0000201,2026-07-28,2026-07-28 16:09:53,M_107,BNK_02,PM_03,2299.87,FAILED,ISSUER_DOWNTIME,4122,0.0185
TXN_0000202,2026-07-24,2026-07-24 01:25:32,M_104,BNK_03,PM_01,8296.4,SUCCESS,NONE,1268,0.0065
TXN_0000203,2026-06-04,2026-06-04 10:59:06,M_101,BNK_03,PM_02,2122.06,SUCCESS,NONE,1424,0.0185
TXN_0000204,2026-06-05,2026-06-05 09:58:53,M_107,BNK_02,PM_02,2467.78,SUCCESS,NONE,1416,0.0185
TXN_0000205,2026-08-18,2026-08-18 00:57:05,M_107,BNK_04,PM_04,291.22,SUCCESS,NONE,686,0.009
TXN_0000206,2026-08-07,2026-08-07 13:07:49,M_102,BNK_05,PM_05,1582.89,SUCCESS,NONE,818,0.015
TXN_0000207,2026-08-19,2026-08-19 14:04:07,M_101,BNK_02,PM_04,2116.22,SUCCESS,NONE,1254,0.009
TXN_0000208,2026-08-13,2026-08-13 07:45:09,M_105,BNK_01,PM_05,384.96,SUCCESS,NONE,1254,0.015
